#bioname	bioname_parent	base	acid	base_parent	acid_parent	inconsistency	null	null	base_n	acid_n	base_parent_n	acid_parent_n	type_n
3,4,5-trihydroxybenzoate	an aromatic carboxylate	CHEBI:16918	CHEBI:30778	CHEBI:91007	CHEBI:33859	left_incomplete	$null$	$null$	gallate	gallic acid	aromatic carboxylate	aromatic carboxylic acid	$null$
2,3-dihydroxy-p-cumate	an aromatic carboxylate	CHEBI:36647	CHEBI:16725	CHEBI:91007	CHEBI:33859	left_incomplete	$null$	$null$	2,3-dihydroxy-p-cumate	2,3-dihydroxy-p-cumic acid	aromatic carboxylate	aromatic carboxylic acid	$null$
4-chlorobenzoate	an aromatic carboxylate	CHEBI:17861	CHEBI:30747	CHEBI:91007	CHEBI:33859	left_incomplete	$null$	$null$	4-chlorobenzoate	4-chlorobenzoic acid	aromatic carboxylate	aromatic carboxylic acid	$null$
8-hydroxy-(11S,12S)-epoxy-(5Z,9E,14Z)-eicosatrienoate	a hydroxy polyunsaturated fatty acid	CHEBI:132127	CHEBI:36190	CHEBI:131871	CHEBI:140345	left_incomplete	$null$	$null$	hepoxilin A3(1-)	hepoxilin A3	hydroxy polyunsaturated fatty acid anion	hydroxy polyunsaturated fatty acid	$null$
2-benzylsuccinate	(R)-2-benzylsuccinate	CHEBI:57621	CHEBI:16054	CHEBI:58692	CHEBI:16054	left_incomplete	$null$	$null$	2-benzylsuccinate(2-)	2-benzylsuccinic acid	(R)-2-benzylsuccinate	2-benzylsuccinic acid	$null$
di-trans,nona-cis-dodecaprenyl phosphate	a polyprenol phosphate	CHEBI:142345	CHEBI:142378	CHEBI:157763	CHEBI:16460	left_incomplete	$null$	$null$	ditrans,polycis-dodecaprenyl phosphate(2-)	ditrans,polycis-dodecaprenyl phosphate	polyprenol phosphate anion	polyprenol phosphate	$null$
FMNH(.)	a nucleoside 5'-phosphate	CHEBI:140311	CHEBI:50528	CHEBI:57867	CHEBI:16701	left_incomplete	$null$	$null$	FMNH(.)(2-)	FMNH(.)	nucleoside 5'-phosphate dianion	nucleoside 5'-phosphate	$null$
S-formylglutathione	an S-substituted glutathione	CHEBI:57688	CHEBI:16225	CHEBI:90779	CHEBI:17021	left_incomplete	$null$	$null$	S-formylglutathionate(1-)	S-formylglutathione	S-substituted glutathione(1-)	S-substituted glutathione	$null$
FMNH(.)	a ribonucleoside 5'-phosphate	CHEBI:140311	CHEBI:50528	CHEBI:58043	CHEBI:17188	left_incomplete	$null$	$null$	FMNH(.)(2-)	FMNH(.)	nucleoside 5'-monophosphate(2-)	nucleoside 5'-monophosphate	$null$
S-formylglutathione	S-acylglutathione	CHEBI:57688	CHEBI:16225	CHEBI:60058	CHEBI:18126	left_incomplete	$null$	$null$	S-formylglutathionate(1-)	S-formylglutathione	S-acylglutathionate(1-)	S-acylglutathione	$null$
3,5-bis(diphospho)-1D-myo-inositol 1,2,4,6-tetrakisphosphate	a myo-inositol phosphate	CHEBI:140372	CHEBI:62924	CHEBI:84139	CHEBI:25448	left_incomplete	$null$	$null$	3,5-bis(diphospho)-1D-myo-inositol 1,2,4,6-tetrakisphosphate(13-)	3,5-bis(diphospho)-1D-myo-inositol 1,2,4,6-tetrakisphosphate	myo-inositol phosphate(2-)	myo-inositol phosphate	$null$
O-phospho-L-homoserine	a carboxylate	CHEBI:57590	CHEBI:15961	CHEBI:29067	CHEBI:33575	left_incomplete	$null$	$null$	O-phosphonato-L-homoserine(2-)	O-phospho-L-homoserine	carboxylic acid anion	carboxylic acid	$null$
syringate	an aromatic carboxylate	CHEBI:132111	CHEBI:68329	CHEBI:91007	CHEBI:33859	left_incomplete	$null$	$null$	syringate	syringic acid	aromatic carboxylate	aromatic carboxylic acid	$null$
N(6)-(1,2-dicarboxyethyl)-AMP	a nucleoside 5'-phosphate	CHEBI:57567	CHEBI:15919	CHEBI:57867	CHEBI:16701	left_incomplete	$null$	$null$	N(6)-(1,2-dicarboxylatoethyl)-AMP(4-)	N(6)-(1,2-dicarboxyethyl)-AMP	nucleoside 5'-phosphate dianion	nucleoside 5'-phosphate	$null$
GMP	a nucleoside 5'-phosphate	CHEBI:58115	CHEBI:17345	CHEBI:57867	CHEBI:16701	left_incomplete	$null$	$null$	guanosine 5'-monophosphate(2-)	guanosine 5'-monophosphate	nucleoside 5'-phosphate dianion	nucleoside 5'-phosphate	$null$
3'-O-salicyl-AMP	a nucleoside 5'-phosphate	CHEBI:142981	CHEBI:60351	CHEBI:57867	CHEBI:16701	left_incomplete	$null$	$null$	3'-O-salicyl-AMP(2-)	3'-O-salicyl-AMP	nucleoside 5'-phosphate dianion	nucleoside 5'-phosphate	$null$
a fatty acyl-AMP	a nucleoside 5'-phosphate	CHEBI:83622	CHEBI:83621	CHEBI:57867	CHEBI:16701	left_incomplete	$null$	$null$	fatty acyl-AMP(1-)	fatty acyl-AMP	nucleoside 5'-phosphate dianion	nucleoside 5'-phosphate	$null$
N(6)-(1,2-dicarboxyethyl)-AMP	a ribonucleoside 5'-phosphate	CHEBI:57567	CHEBI:15919	CHEBI:58043	CHEBI:17188	left_incomplete	$null$	$null$	N(6)-(1,2-dicarboxylatoethyl)-AMP(4-)	N(6)-(1,2-dicarboxyethyl)-AMP	nucleoside 5'-monophosphate(2-)	nucleoside 5'-monophosphate	$null$
3'-O-salicyl-AMP	a ribonucleoside 5'-phosphate	CHEBI:142981	CHEBI:60351	CHEBI:58043	CHEBI:17188	left_incomplete	$null$	$null$	3'-O-salicyl-AMP(2-)	3'-O-salicyl-AMP	nucleoside 5'-monophosphate(2-)	nucleoside 5'-monophosphate	$null$
