#bioname	bioname_parent	base	acid	base_parent	acid_parent	inconsistency	null	null	base_n	acid_n	base_parent_n	acid_parent_n	type_n
ATP	ATP(3-)	CHEBI:30616	CHEBI:237958	CHEBI:57299	CHEBI:237958	left_incomplete	$null$	$null$	ATP(4-)	({[(2R,3S,4R,5R)-3,4-dihydroxy-5-(9H-purin-9-yl)oxolan-2-yl]methyl phosphonato}oxy)(phosphonatooxy)phosphinate	ATP(3-)	({[(2R,3S,4R,5R)-3,4-dihydroxy-5-(9H-purin-9-yl)oxolan-2-yl]methyl phosphonato}oxy)(phosphonatooxy)phosphinate	$null$
(2Z,6Z,10Z,14Z,18Z,22Z,26Z,30Z,34E)-decaprenyl diphosphate	a polyprenol phosphate	CHEBI:87356	CHEBI:81671	CHEBI:157763	CHEBI:16460	left_incomplete	$null$	$null$	(2Z,6Z,10Z,14Z,18Z,22Z,26Z,30Z,34E)-decaprenyl diphosphate(3-)	(2Z,6Z,10Z,14Z,18Z,22Z,26Z,30Z,34E)-decaprenyl diphosphate	polyprenol phosphate anion	polyprenol phosphate	$null$
3-oxo-(12Z,15Z,18Z,21Z,24Z,27Z)-triacontahexaenoyl-CoA	an ultra-long-chain fatty acyl-CoA	CHEBI:74313	CHEBI:74592	CHEBI:143018	CHEBI:143017	left_incomplete	$null$	$null$	(12Z,15Z,18Z,21Z,24Z,27Z)-3-oxotriacontahexaenoyl-CoA(4-)	(12Z,15Z,18Z,21Z,24Z,27Z)-3-oxotriacontahexaenoyl-CoA	ultra-long-chain fatty acyl-CoA(4-)	ultra-long-chain fatty acyl-CoA	$null$
3-oxo-(12Z,15Z,18Z,21Z,24Z,27Z)-triacontahexaenoyl-CoA	a very long-chain fatty acyl-CoA	CHEBI:74313	CHEBI:74592	CHEBI:138261	CHEBI:61910	left_incomplete	$null$	$null$	(12Z,15Z,18Z,21Z,24Z,27Z)-3-oxotriacontahexaenoyl-CoA(4-)	(12Z,15Z,18Z,21Z,24Z,27Z)-3-oxotriacontahexaenoyl-CoA	very long-chain fatty acyl-CoA(4-)	very long-chain fatty acyl-CoA	$null$
isophthalate	an aromatic carboxylate	CHEBI:30803	CHEBI:30802	CHEBI:91007	CHEBI:33859	left_incomplete	$null$	$null$	isophthalate(2-)	isophthalic acid	aromatic carboxylate	aromatic carboxylic acid	$null$
2'-phospho-cyclic ADP-ribose	kaempferol 7-O-beta-D-glucoside	CHEBI:75970	CHEBI:76081	CHEBI:169944	CHEBI:76081	left_incomplete	$null$	$null$	2'-phospho-cyclic ADP-ribose(3-)	2'-phospho-cyclic ADP-ribose	kaempferol 7-O-beta-D-glucoside(1-)	2'-phospho-cyclic ADP-ribose	$null$
alpha-D-ribose 5-triphosphate	D-ribose 5-triphosphate	CHEBI:84148	CHEBI:84147	CHEBI:91013	CHEBI:28232	left_incomplete	$null$	$null$	alpha-D-ribose 5-triphosphate(4-)	alpha-D-ribose 5-triphosphate	D-ribose 5-triphosphate(4-)	D-ribose 5-triphosphate	$null$
3,12-dihydroxydodecanoate	3-hydroxy fatty acid	CHEBI:76618	CHEBI:76934	CHEBI:84196	CHEBI:59845	left_incomplete	$null$	$null$	3,12-dihydroxylaurate	3,12-dihydroxylauric acid	3-hydroxy fatty acid anion	3-hydroxy fatty acid	$null$
12-methyloctadecanoyl-CoA	an 11,12-saturated fatty acyl-CoA	CHEBI:84181	CHEBI:85073	CHEBI:84948	CHEBI:85348	left_incomplete	$null$	$null$	12-methyloctadecanoyl-CoA(4-)	12-methyloctadecanoyl-CoA	11,12-saturated fatty acyl-CoA(4-)	11,12-saturated fatty acyl-CoA	$null$
(2E)-tetradecenedioyl-CoA	an acyl-CoA	CHEBI:77039	CHEBI:77170	CHEBI:58342	CHEBI:17984	left_incomplete	$null$	$null$	(2E)-tetradecenedioyl-CoA(5-)	(2E)-tetradecenedioyl-CoA	acyl-CoA(4-)	acyl-CoA	$null$
thymidine 3'-monophosphate	a ribonucleoside 5'-phosphate	CHEBI:77843	CHEBI:55552	CHEBI:58043	CHEBI:17188	left_incomplete	$null$	$null$	thymidine 3'-monophosphate(2-)	thymidine 3'-monophosphate	nucleoside 5'-monophosphate(2-)	nucleoside 5'-monophosphate	$null$
thymidine 3'-monophosphate	a nucleoside 3'-phosphate	CHEBI:77843	CHEBI:55552	CHEBI:66949	CHEBI:16492	left_incomplete	$null$	$null$	thymidine 3'-monophosphate(2-)	thymidine 3'-monophosphate	nucleoside 3'-phosphate(2-)	nucleoside 3'-phosphate	$null$
2-methylhexadecanoyl-CoA	an 11,12-saturated fatty acyl-CoA	CHEBI:84182	CHEBI:85074	CHEBI:84948	CHEBI:85348	left_incomplete	$null$	$null$	2-methylhexadecanoyl-CoA(4-)	2-methylhexadecanoyl-CoA	11,12-saturated fatty acyl-CoA(4-)	11,12-saturated fatty acyl-CoA	$null$
3-oxohexadecanedioyl-CoA	an acyl-CoA	CHEBI:77081	CHEBI:77191	CHEBI:58342	CHEBI:17984	left_incomplete	$null$	$null$	3-oxohexadecanedioyl-CoA(5-)	3-oxohexadecanedioyl-CoA	acyl-CoA(4-)	acyl-CoA	$null$
12-methyltridecanoyl-CoA	an 11,12-saturated fatty acyl-CoA	CHEBI:84195	CHEBI:85077	CHEBI:84948	CHEBI:85348	left_incomplete	$null$	$null$	isomyristoyl-CoA(4-)	isomyristoyl-CoA	11,12-saturated fatty acyl-CoA(4-)	11,12-saturated fatty acyl-CoA	$null$
(2R)-pristanoyl-CoA	a long-chain fatty acyl-CoA	CHEBI:77275	CHEBI:77550	CHEBI:83139	CHEBI:33184	left_incomplete	$null$	$null$	(2R)-pristanoyl-CoA(4-)	(2R)-pristanoyl-CoA	long-chain fatty acyl-CoA(4-)	long-chain fatty acyl-CoA	$null$
(2R)-pristanoyl-CoA	an 11,12-saturated fatty acyl-CoA	CHEBI:77275	CHEBI:77550	CHEBI:84948	CHEBI:85348	left_incomplete	$null$	$null$	(2R)-pristanoyl-CoA(4-)	(2R)-pristanoyl-CoA	11,12-saturated fatty acyl-CoA(4-)	11,12-saturated fatty acyl-CoA	$null$
12-phosphooxy-(9Z)-octadecenoate	a carboxylate	CHEBI:85141	CHEBI:85140	CHEBI:29067	CHEBI:33575	left_incomplete	$null$	$null$	(9Z)-12-(phosphonooxy)octadecenoate(3-)	(9Z)-12-(phosphonooxy)octadecenoic acid	carboxylic acid anion	carboxylic acid	$null$
(2R)-pristanoyl-CoA	pristanoyl-CoA	CHEBI:77275	CHEBI:77550	CHEBI:77250	CHEBI:51341	left_incomplete	$null$	$null$	(2R)-pristanoyl-CoA(4-)	(2R)-pristanoyl-CoA	pristanoyl-CoA(4-)	pristanoyl-CoA	$null$
1,5-bis(diphospho)-1D-myo-inositol 2,3,4,6-tetrakisphosphate	a myo-inositol phosphate	CHEBI:77983	CHEBI:62923	CHEBI:84139	CHEBI:25448	left_incomplete	$null$	$null$	1,5-bis(diphospho)-1D-myo-inositol 2,3,4,6-tetrakisphosphate(13-)	1,5-bis(diphospho)-1D-myo-inositol 2,3,4,6-tetrakisphosphate	myo-inositol phosphate(2-)	myo-inositol phosphate	$null$
8-oxo-dGDP	a nucleoside 5'-phosphate	CHEBI:63715	CHEBI:63728	CHEBI:57867	CHEBI:16701	left_incomplete	$null$	$null$	8-oxo-dGDP(3-)	8-oxo-dGDP	nucleoside 5'-phosphate dianion	nucleoside 5'-phosphate	$null$
8-oxo-dGDP	a ribonucleoside 5'-diphosphate	CHEBI:63715	CHEBI:63728	CHEBI:57930	CHEBI:16862	left_incomplete	$null$	$null$	8-oxo-dGDP(3-)	8-oxo-dGDP	nucleoside 5'-diphosphate(3-)	nucleoside diphosphate	$null$
8-oxo-dGDP	a 2'-deoxyribonucleoside 5'-diphosphate	CHEBI:63715	CHEBI:63728	CHEBI:73316	CHEBI:16350	left_incomplete	$null$	$null$	8-oxo-dGDP(3-)	8-oxo-dGDP	2'-deoxyribonucleoside 5'-diphosphate(3-)	2'-deoxyribonucleoside 5'-diphosphate	$null$
1-O-hexadecyl-2-acetyl-sn-glycero-3-phosphate	monoacyl-sn-glycero-3-phosphate	CHEBI:78385	CHEBI:79277	CHEBI:77589	CHEBI:17088	left_incomplete	$null$	$null$	1-palmityl-2-acetyl-sn-glycero-3-phosphate(2-)	1-palmityl-2-acetyl-sn-glycero-3-phosphate	monoacyl-sn-glycerol 3-phosphate(2-)	monoacyl-sn-glycerol 3-phosphate	$null$
15-oxo-(5S,6R)-dihydroxy-(7E,9E,11Z,13E)-eicosatetraenoate	a hydroxy polyunsaturated fatty acid	CHEBI:78311	CHEBI:63992	CHEBI:131871	CHEBI:140345	left_incomplete	$null$	$null$	15-oxolipoxin A4(1-)	15-oxolipoxin A4	hydroxy polyunsaturated fatty acid anion	hydroxy polyunsaturated fatty acid	$null$
N(3)-fumaroyl-(S)-2,3-diaminopropanoate	a monoamide of a dicarboxylate	CHEBI:84330	CHEBI:85346	CHEBI:77450	CHEBI:35735	left_incomplete	$null$	$null$	N(3)-fumaroyl-(S)-2,3-diaminopropanoate	N(3)-fumaroyl-(S)-2,3-diaminopropanoic acid	dicarboxylic acid monoamide(1-)	dicarboxylic acid monoamide	$null$
(10,11S,12R)-trihydroxy-(5Z,8Z,14Z)-eicosatrienoate	a hydroxy polyunsaturated fatty acid	CHEBI:78099	CHEBI:35032	CHEBI:131871	CHEBI:140345	left_incomplete	$null$	$null$	trioxilin B3(1-)	trioxilin B3	hydroxy polyunsaturated fatty acid anion	hydroxy polyunsaturated fatty acid	$null$
15-methylhexadecanoyl-CoA	an 11,12-saturated fatty acyl-CoA	CHEBI:71425	CHEBI:71433	CHEBI:84948	CHEBI:85348	left_incomplete	$null$	$null$	isopalmitoyl-CoA(4-)	isopalmitoyl-CoA	11,12-saturated fatty acyl-CoA(4-)	11,12-saturated fatty acyl-CoA	$null$
(2E)-hexadecenedioyl-CoA	an acyl-CoA	CHEBI:77075	CHEBI:77183	CHEBI:58342	CHEBI:17984	left_incomplete	$null$	$null$	(2E)-hexadecenedioyl-CoA(5-)	(2E)-hexadecenedioyl-CoA	acyl-CoA(4-)	acyl-CoA	$null$
tetradecanedioyl-CoA	an acyl-CoA	CHEBI:77084	CHEBI:77207	CHEBI:58342	CHEBI:17984	left_incomplete	$null$	$null$	tetradecanedioyl-CoA(5-)	tetradecanedioyl-CoA	acyl-CoA(4-)	acyl-CoA	$null$
isoheptadecanoyl-coA	an 11,12-saturated fatty acyl-CoA	CHEBI:71461	CHEBI:71540	CHEBI:84948	CHEBI:85348	left_incomplete	$null$	$null$	isoheptadecanoyl-CoA(4-)	isoheptadecanoyl-CoA	11,12-saturated fatty acyl-CoA(4-)	11,12-saturated fatty acyl-CoA	$null$
hexadecanedioyl-CoA	an acyl-CoA	CHEBI:77085	CHEBI:77208	CHEBI:58342	CHEBI:17984	left_incomplete	$null$	$null$	hexadecanedioyl-CoA(5-)	hexadecanedioyl-CoA	acyl-CoA(4-)	acyl-CoA	$null$
(2E)-13-methyltetradecenoyl-CoA	a fatty acyl-CoA	CHEBI:71460	CHEBI:71544	CHEBI:77636	CHEBI:37554	left_incomplete	$null$	$null$	(E)-isopentadec-2-enoyl-CoA(4-)	(E)-isopentadec-2-enoyl-CoA	fatty acyl-CoA(4-)	fatty acyl-CoA	$null$
(2E)-13-methyltetradecenoyl-CoA	a long-chain fatty acyl-CoA	CHEBI:71460	CHEBI:71544	CHEBI:83139	CHEBI:33184	left_incomplete	$null$	$null$	(E)-isopentadec-2-enoyl-CoA(4-)	(E)-isopentadec-2-enoyl-CoA	long-chain fatty acyl-CoA(4-)	long-chain fatty acyl-CoA	$null$
(2E)-13-methyltetradecenoyl-CoA	an 11,12-saturated fatty acyl-CoA	CHEBI:71460	CHEBI:71544	CHEBI:84948	CHEBI:85348	left_incomplete	$null$	$null$	(E)-isopentadec-2-enoyl-CoA(4-)	(E)-isopentadec-2-enoyl-CoA	11,12-saturated fatty acyl-CoA(4-)	11,12-saturated fatty acyl-CoA	$null$
1-octadecanoyl-2-(9Z)-octadecenoyl-sn-glycero-3-phospho-1D-myo-inositol	1-octadecanoyl-2-acyl-sn-glycero-3-phospho-(1D-myo-inositol)	CHEBI:77163	CHEBI:77346	CHEBI:83940	CHEBI:65090	left_incomplete	$null$	$null$	1-stearoyl-2-oleoyl-sn-glycero-3-phospho-1D-myo-inositol(1-)	1-stearoyl-2-oleoyl-sn-glycero-3-phospho-1D-myo-inositol	1-stearoyl-2-acyl-sn-glycero-3-phospho-(1D-myo-inositol)(1-)	1-octadecanoyl-2-acyl-sn-glycero-3-phospho-1D-myo-inositol	$null$
(R)-2-hydroxy-4-methylpentanoyl-CoA	a short-chain fatty acyl-CoA	CHEBI:87119	CHEBI:87433	CHEBI:137040	CHEBI:61905	left_incomplete	$null$	$null$	(R)-2-hydroxy-4-methylpentanoyl-CoA(4-)	(R)-2-hydroxy-4-methylpentanoyl-CoA	short chain fatty acyl-CoA(4-)	short-chain fatty acyl-CoA	$null$
4-methylpent-2-enoyl-CoA	a short-chain fatty acyl-CoA	CHEBI:87120	CHEBI:87436	CHEBI:137040	CHEBI:61905	left_incomplete	$null$	$null$	4-methylpent-2-enoyl-CoA(4-)	4-methylpent-2-enoyl-CoA	short chain fatty acyl-CoA(4-)	short-chain fatty acyl-CoA	$null$
4-methylpent-2-enoyl-CoA	a 2,3-dehydroacyl-CoA	CHEBI:87120	CHEBI:87436	CHEBI:60015	CHEBI:15469	left_incomplete	$null$	$null$	4-methylpent-2-enoyl-CoA(4-)	4-methylpent-2-enoyl-CoA	2,3-dehydroacyl-CoA(4-)	alk-2-enoyl-CoA	$null$
(8Z,11Z,14Z,17Z)-3-oxoicosatetraenoyl-CoA	a long-chain fatty acyl-CoA	CHEBI:71491	CHEBI:71574	CHEBI:83139	CHEBI:33184	left_incomplete	$null$	$null$	(8Z,11Z,14Z,17Z)-3-oxoicosatetraenoyl-CoA(4-)	(8Z,11Z,14Z,17Z)-3-oxoicosatetraenoyl-CoA	long-chain fatty acyl-CoA(4-)	long-chain fatty acyl-CoA	$null$
(8Z,11Z,14Z,17Z,20Z)-hexacosapentaenoyl-CoA	a very long-chain fatty acyl-CoA	CHEBI:77242	CHEBI:77540	CHEBI:138261	CHEBI:61910	left_incomplete	$null$	$null$	(8Z,11Z,14Z,17Z,20Z)-hexacosapentaenoyl-CoA(4-)	(8Z,11Z,14Z,17Z,20Z)-hexacosapentaenoyl-CoA	very long-chain fatty acyl-CoA(4-)	very long-chain fatty acyl-CoA	$null$
prenyl-FMNH2	a nucleoside 5'-phosphate	CHEBI:87467	CHEBI:87531	CHEBI:57867	CHEBI:16701	left_incomplete	$null$	$null$	prenyl-FMNH2(2-)	prenyl-FMNH2	nucleoside 5'-phosphate dianion	nucleoside 5'-phosphate	$null$
prenyl-FMNH2	an oxidized flavin	CHEBI:87467	CHEBI:87531	CHEBI:60531	CHEBI:30527	left_incomplete	$null$	$null$	prenyl-FMNH2(2-)	prenyl-FMNH2	flavin(1-)	flavin	$null$
3-hydroxyisoheptadecanoyl-CoA	an 11,12-saturated fatty acyl-CoA	CHEBI:71446	CHEBI:72003	CHEBI:84948	CHEBI:85348	left_incomplete	$null$	$null$	3-hydroxyisoheptadecanoyl-CoA(4-)	3-hydroxyisoheptadecanoyl-CoA	11,12-saturated fatty acyl-CoA(4-)	11,12-saturated fatty acyl-CoA	$null$
prenyl-FMNH2	a ribonucleoside 5'-phosphate	CHEBI:87467	CHEBI:87531	CHEBI:58043	CHEBI:17188	left_incomplete	$null$	$null$	prenyl-FMNH2(2-)	prenyl-FMNH2	nucleoside 5'-monophosphate(2-)	nucleoside 5'-monophosphate	$null$
(2E)-15-methylhexadecenoyl-CoA	a long-chain fatty acyl-CoA	CHEBI:71462	CHEBI:72006	CHEBI:83139	CHEBI:33184	left_incomplete	$null$	$null$	(E)-isoheptadec-2-enoyl-CoA(4-)	(E)-isoheptadec-2-enoyl-CoA	long-chain fatty acyl-CoA(4-)	long-chain fatty acyl-CoA	$null$
(2E)-15-methylhexadecenoyl-CoA	a fatty acyl-CoA	CHEBI:71462	CHEBI:72006	CHEBI:77636	CHEBI:37554	left_incomplete	$null$	$null$	(E)-isoheptadec-2-enoyl-CoA(4-)	(E)-isoheptadec-2-enoyl-CoA	fatty acyl-CoA(4-)	fatty acyl-CoA	$null$
(2E)-15-methylhexadecenoyl-CoA	an 11,12-saturated fatty acyl-CoA	CHEBI:71462	CHEBI:72006	CHEBI:84948	CHEBI:85348	left_incomplete	$null$	$null$	(E)-isoheptadec-2-enoyl-CoA(4-)	(E)-isoheptadec-2-enoyl-CoA	11,12-saturated fatty acyl-CoA(4-)	11,12-saturated fatty acyl-CoA	$null$
1',3'-bis-[1-(9Z-octadecenoyl)-sn-glycero-3-phospho]-glycerol	a phosphatidylglycerol	CHEBI:77256	CHEBI:77560	CHEBI:60523	CHEBI:17517	left_incomplete	$null$	$null$	1,1'-dioleyl 2,2'-dilysocardiolipin(2-)	1,1'-dioleyl 2,2'-dilysocardiolipin	phosphatidylglycerol(1-)	phosphatidylglycerol	$null$
pristanoyl-CoA	a long-chain fatty acyl-CoA	CHEBI:77250	CHEBI:51341	CHEBI:83139	CHEBI:33184	left_incomplete	$null$	$null$	pristanoyl-CoA(4-)	pristanoyl-CoA	long-chain fatty acyl-CoA(4-)	long-chain fatty acyl-CoA	$null$
pristanoyl-CoA	an 11,12-saturated fatty acyl-CoA	CHEBI:77250	CHEBI:51341	CHEBI:84948	CHEBI:85348	left_incomplete	$null$	$null$	pristanoyl-CoA(4-)	pristanoyl-CoA	11,12-saturated fatty acyl-CoA(4-)	11,12-saturated fatty acyl-CoA	$null$
(4S)-4-hydroxy-2-oxoheptanedioate	oxo dicarboxylic acid	CHEBI:87522	CHEBI:87773	CHEBI:133294	CHEBI:36145	left_incomplete	$null$	$null$	(S)-4-hydroxy-2-oxoheptanedioate	(S)-4-hydroxy-2-oxoheptanedioic acid	oxo dicarboxylic acid dianion	oxo dicarboxylic acid	$null$
2-hydroxyhexadecanoyl-CoA	an 11,12-saturated fatty acyl-CoA	CHEBI:74115	CHEBI:74137	CHEBI:84948	CHEBI:85348	left_incomplete	$null$	$null$	2-hydroxypalmitoyl-CoA(4-)	2-hydroxyhexadecanoyl-CoA	11,12-saturated fatty acyl-CoA(4-)	11,12-saturated fatty acyl-CoA	$null$
(2S)-2-methylbutanoyl-CoA	a (2S)-2-methylacyl-CoA	CHEBI:88166	CHEBI:90222	CHEBI:57314	CHEBI:15451	left_incomplete	$null$	$null$	(S)-2-methylbutanoyl-CoA(4-)	(S)-2-methylbutanoyl-CoA	(2S)-2-methylacyl-CoA(4-)	(2S)-2-methylacyl-CoA	$null$
(13Z)-docosenoyl-CoA	an 11,12-saturated fatty acyl-CoA	CHEBI:74068	CHEBI:74106	CHEBI:84948	CHEBI:85348	left_incomplete	$null$	$null$	erucoyl-CoA(4-)	erucoyl-CoA	11,12-saturated fatty acyl-CoA(4-)	11,12-saturated fatty acyl-CoA	$null$
(13Z)-3-oxodocosenoyl-CoA	a long-chain fatty acyl-CoA	CHEBI:74070	CHEBI:74127	CHEBI:83139	CHEBI:33184	left_incomplete	$null$	$null$	(13Z)-3-oxodocosenoyl-CoA(4-)	(13Z)-3-oxodocosenoyl-CoA	long-chain fatty acyl-CoA(4-)	long-chain fatty acyl-CoA	$null$
1',3'-bis[1,2-di-(9Z-octadecenoyl)-sn-glycero-3-phospho]-glycerol	a phosphatidylglycerol	CHEBI:77253	CHEBI:60356	CHEBI:60523	CHEBI:17517	left_incomplete	$null$	$null$	tetraoleoyl cardiolipin(2-)	tetraoleyl cardiolipin	phosphatidylglycerol(1-)	phosphatidylglycerol	$null$
dTMP	a nucleoside 5'-phosphate	CHEBI:63528	CHEBI:17013	CHEBI:57867	CHEBI:16701	left_incomplete	$null$	$null$	dTMP(2-)	dTMP	nucleoside 5'-phosphate dianion	nucleoside 5'-phosphate	$null$
dTMP	a ribonucleoside 5'-phosphate	CHEBI:63528	CHEBI:17013	CHEBI:58043	CHEBI:17188	left_incomplete	$null$	$null$	dTMP(2-)	dTMP	nucleoside 5'-monophosphate(2-)	nucleoside 5'-monophosphate	$null$
2-hydroxydocosanoyl-CoA	a long-chain fatty acyl-CoA	CHEBI:74117	CHEBI:74148	CHEBI:83139	CHEBI:33184	left_incomplete	$null$	$null$	2-hydroxybehenoyl-CoA(4-)	2-hydroxybehenoyl-CoA	long-chain fatty acyl-CoA(4-)	long-chain fatty acyl-CoA	$null$
(15Z)-3-oxotetracosenoyl-CoA	a very long-chain fatty acyl-CoA	CHEBI:74071	CHEBI:74133	CHEBI:138261	CHEBI:61910	left_incomplete	$null$	$null$	(15Z)-3-oxotetracosenoyl-CoA(4-)	(15Z)-3-oxotetracosenoyl-CoA	very long-chain fatty acyl-CoA(4-)	very long-chain fatty acyl-CoA	$null$
20-oxo-leukotriene B4	a long-chain fatty acid	CHEBI:90720	CHEBI:63979	CHEBI:57560	CHEBI:15904	left_incomplete	$null$	$null$	20-oxoleukotriene B4(1-)	20-oxoleukotriene B4	long-chain fatty acid anion	long-chain fatty acid	$null$
19-hydroxy-(5Z,8Z,11Z,14Z)-eicosatetraenoate	a hydroxy polyunsaturated fatty acid	CHEBI:76627	CHEBI:63998	CHEBI:131871	CHEBI:140345	left_incomplete	$null$	$null$	19-HETE(1-)	19-HETE	hydroxy polyunsaturated fatty acid anion	hydroxy polyunsaturated fatty acid	$null$
a 2'-deoxyribonucleoside 5'-phosphate	a nucleoside 5'-phosphate	CHEBI:65317	CHEBI:18241	CHEBI:57867	CHEBI:16701	left_incomplete	$null$	$null$	2'-deoxynucleoside 5'-monophosphate(2-)	2'-deoxyribonucleoside 5'-monophosphate	nucleoside 5'-phosphate dianion	nucleoside 5'-phosphate	$null$
a 2'-deoxyribonucleoside 5'-phosphate	a ribonucleoside 5'-phosphate	CHEBI:65317	CHEBI:18241	CHEBI:58043	CHEBI:17188	left_incomplete	$null$	$null$	2'-deoxynucleoside 5'-monophosphate(2-)	2'-deoxyribonucleoside 5'-monophosphate	nucleoside 5'-monophosphate(2-)	nucleoside 5'-monophosphate	$null$
alpha-D-galactose 1-phosphate	alpha-D-hexose 1-phosphate	CHEBI:58336	CHEBI:17973	CHEBI:57734	CHEBI:16326	left_incomplete	$null$	$null$	alpha-D-galactose 1-phosphate(2-)	alpha-D-galactose 1-phosphate	alpha-D-hexose 1-phosphate(2-)	alpha-D-hexose 1-phosphate	$null$
(2S)-pristanoyl-CoA	pristanoyl-CoA	CHEBI:77099	CHEBI:64039	CHEBI:77250	CHEBI:51341	left_incomplete	$null$	$null$	(2S)-pristanoyl-CoA(4-)	(2S)-pristanoyl-CoA	pristanoyl-CoA(4-)	pristanoyl-CoA	$null$
(2S)-pristanoyl-CoA	an 11,12-saturated fatty acyl-CoA	CHEBI:77099	CHEBI:64039	CHEBI:84948	CHEBI:85348	left_incomplete	$null$	$null$	(2S)-pristanoyl-CoA(4-)	(2S)-pristanoyl-CoA	11,12-saturated fatty acyl-CoA(4-)	11,12-saturated fatty acyl-CoA	$null$
terephthalate	an aromatic carboxylate	CHEBI:30043	CHEBI:15702	CHEBI:91007	CHEBI:33859	left_incomplete	$null$	$null$	terephthalate(2-)	terephthalic acid	aromatic carboxylate	aromatic carboxylic acid	$null$
(2S)-pristanoyl-CoA	a long-chain fatty acyl-CoA	CHEBI:77099	CHEBI:64039	CHEBI:83139	CHEBI:33184	left_incomplete	$null$	$null$	(2S)-pristanoyl-CoA(4-)	(2S)-pristanoyl-CoA	long-chain fatty acyl-CoA(4-)	long-chain fatty acyl-CoA	$null$
2-carboxyhexacosanoyl-CoA	an acyl-CoA	CHEBI:83578	CHEBI:84305	CHEBI:58342	CHEBI:17984	left_incomplete	$null$	$null$	2-carboxyhexacosanoyl-CoA(5-)	2-carboxyhexacosanoyl-CoA	acyl-CoA(4-)	acyl-CoA	$null$
hexadecanoyl-AMP	a ribonucleoside 5'-phosphate	CHEBI:83627	CHEBI:84414	CHEBI:58043	CHEBI:17188	left_incomplete	$null$	$null$	hexadecanoyl-AMP(1-)	hexadecanoyl-AMP	nucleoside 5'-monophosphate(2-)	nucleoside 5'-monophosphate	$null$
hexadecanoyl-AMP	a nucleoside 5'-phosphate	CHEBI:83627	CHEBI:84414	CHEBI:57867	CHEBI:16701	left_incomplete	$null$	$null$	hexadecanoyl-AMP(1-)	hexadecanoyl-AMP	nucleoside 5'-phosphate dianion	nucleoside 5'-phosphate	$null$
(2E,6Z,9Z,12Z,15Z,18Z,21Z)-tetracosaheptaenoyl-CoA	a very long-chain fatty acyl-CoA	CHEBI:76360	CHEBI:65139	CHEBI:138261	CHEBI:61910	left_incomplete	$null$	$null$	(2E,6Z,9Z,12Z,15Z,18Z,21Z)-tetracosaheptaenoyl-CoA(4-)	(2E,6Z,9Z,12Z,15Z,18Z,21Z)-tetracosaheptaenoyl-CoA	very long-chain fatty acyl-CoA(4-)	very long-chain fatty acyl-CoA	$null$
(2E,6Z,9Z,12Z,15Z,18Z,21Z)-tetracosaheptaenoyl-CoA	a fatty acyl-CoA	CHEBI:76360	CHEBI:65139	CHEBI:77636	CHEBI:37554	left_incomplete	$null$	$null$	(2E,6Z,9Z,12Z,15Z,18Z,21Z)-tetracosaheptaenoyl-CoA(4-)	(2E,6Z,9Z,12Z,15Z,18Z,21Z)-tetracosaheptaenoyl-CoA	fatty acyl-CoA(4-)	fatty acyl-CoA	$null$
4-hydroxy-3-all-trans-heptaprenylbenzoate	an aromatic carboxylate	CHEBI:84496	CHEBI:84494	CHEBI:91007	CHEBI:33859	left_incomplete	$null$	$null$	4-hydroxy-3-all-trans-heptaprenylbenzoate	4-hydroxy-3-all-trans-heptaprenylbenzoic acid	aromatic carboxylate	aromatic carboxylic acid	$null$
4-hydroxy-3-all-trans-nonaprenylbenzoate	an aromatic carboxylate	CHEBI:84502	CHEBI:84501	CHEBI:91007	CHEBI:33859	left_incomplete	$null$	$null$	4-hydroxy-3-all-trans-nonaprenylbenzoate	4-hydroxy-3-all-trans-nonaprenylbenzoic acid	aromatic carboxylate	aromatic carboxylic acid	$null$
1-octadecanoyl-sn-glycero-3-phospho-(1'-sn-glycerol)	1-acyl-sn-glycero-3-phosphoglycerol	CHEBI:72827	CHEBI:73091	CHEBI:75111	CHEBI:62747	left_incomplete	$null$	$null$	1-octadecanoyl-sn-glycero-3-phospho-(1'-sn-glycerol)(1-)	1-octadecanoyl-sn-glycero-3-phospho-(1'-sn-glycerol)	1-acyl-sn-glycero-3-phosphoglycerol(1-)	1-acyl-sn-glycero-3-phosphoglycerol	$null$
kynurenate	an aromatic carboxylate	CHEBI:58454	CHEBI:18344	CHEBI:91007	CHEBI:33859	left_incomplete	$null$	$null$	kynurenate	kynurenic acid	aromatic carboxylate	aromatic carboxylic acid	$null$
divinyl chlorophyll a	a chlorophyll	CHEBI:73095	CHEBI:73113	CHEBI:139291	CHEBI:28966	left_incomplete	$null$	$null$	divinyl chlorophyll a(1-)	divinyl chlorophyll a	chlorophyll(1-)	chlorophyll	$null$
bilirubin-bisglucuronoside	a monocarboxylate	CHEBI:58471	CHEBI:18392	CHEBI:35757	CHEBI:25384	left_incomplete	$null$	$null$	bis(beta-glucosyluronate)bilirubin	bis(beta-glucosyluronic acid)bilirubin	monocarboxylic acid anion	monocarboxylic acid	$null$
divinyl chlorophyll b	a chlorophyll	CHEBI:73096	CHEBI:73115	CHEBI:139291	CHEBI:28966	left_incomplete	$null$	$null$	divinyl chlorophyll b(1-)	divinyl chlorophyll b	chlorophyll(1-)	chlorophyll	$null$
